 [2022-10-02 00:02:49,963] Register - Step 01: Navigate to Register page
 [2022-10-02 00:02:51,883] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
 [2022-10-02 00:02:52,077] Register - Step 03: Enter to Lastname textbox with value is 'FC'
 [2022-10-02 00:02:53,337] Register - Step 04: Enter to Email textbox with value is 'afc734@mail.vn'
 [2022-10-02 00:02:53,531] Register - Step 05: Enter to Password textbox with value is '123456'
 [2022-10-02 00:02:53,644] Register - Step 06: Enter to Confirm password textbox with value is '123456'
 [2022-10-02 00:02:53,775] Register - Step 07: Click to Register button
 [2022-10-02 00:02:54,686] Register - Step 08: Vefiry Register success message is displayed
 [2022-10-02 00:02:55,155] Login - Step 01: Navigate to Login page
 [2022-10-02 00:02:56,657] Login - Step 02: Enter to Email textbox with value is 'afc734@mail.vn'
 [2022-10-02 00:02:56,810] Login - Step 03: Enter to Password textbox with value is '123456'
 [2022-10-02 00:02:56,928] Login - Step 04: Click to Login button
 [2022-10-02 00:02:57,876] Login - Step 05: Verify My account link is displayed
 [2022-10-02 00:02:58,008]  -------------------------- PASSED -------------------------- 
 [2022-10-02 00:02:58,016] My Account - Step 01: Navigate to My account page
 [2022-10-02 00:02:58,603] My Account - Step 02: Verify Customer infor page is displayed
 [2022-10-02 00:02:58,727]  -------------------------- PASSED -------------------------- 
 [2022-10-02 00:02:58,728] My Account - Step 03: Verify 'Firstname' value is correctly
 [2022-10-02 00:02:58,824]  -------------------------- PASSED -------------------------- 
 [2022-10-02 00:02:58,824] My Account - Step 04: Verify 'Lastname' value is correctly
 [2022-10-02 00:02:58,923]  -------------------------- PASSED -------------------------- 
 [2022-10-02 00:02:58,924] My Account - Step 05: Verify 'Email' value is correctly
 [2022-10-02 00:02:59,023]  -------------------------- PASSED -------------------------- 
 [2022-10-02 00:02:59,027] OS name = windows 10
 [2022-10-02 00:02:59,028] Driver instance name = firefoxdriver: firefox on windows (16810724-a602-43f2-9abe-289c9c1a05fa)
 [2022-10-02 00:05:12,426] Register - Step 01: Navigate to Register page
 [2022-10-02 00:05:14,335] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
 [2022-10-02 00:05:14,519] Register - Step 03: Enter to Lastname textbox with value is 'FC'
 [2022-10-02 00:05:15,696] Register - Step 04: Enter to Email textbox with value is 'afc5438@mail.vn'
 [2022-10-02 00:05:15,924] Register - Step 05: Enter to Password textbox with value is '123456'
 [2022-10-02 00:05:16,030] Register - Step 06: Enter to Confirm password textbox with value is '123456'
